wrong_sentence,error_index
چهار ساعت آنجا درس می خوانم بعد از درس به خوابگاه میروم و استراحت می کنم بعد از استراحت مطالعه و مباحثه می کنم . [پاکستان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
در حافظیهی انسان یادآوری و فراموشی دو نعمت بزرگ است که خداوند به انسان داده_است . بدون این دو مشکلات زیادی برای انسان به وجود میآید . چون انسان بی حافظه همه چیز را فراموش میکند . پدر در فکر چارهای بود که ناگهان دختر رو به پدر کرد و گفت بابا اگر من این دوای تلخ را بخورم هرچه خواستم برایم انجام میدهی ؟ پدر که فکر میکرد دخترش عروسک یا اسباب بازی جدید میخواهد گفت دخترم اگر پولش زیاد نباشد اشکال ندارد . دختر گفت نه پولی نیست فقط قول بده آن را انجام بدهی . پدر قول داد و مریم با سختی تمام دارو را خورد ، آنگاه رو به پدرش کرد و گفت میخواهم سرم را تیغ بزنی . [هند],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
من هم برای شدنِ نویسنده و خبرناگار خیلی دوست دارم یک روز که من گردیتر کردم ، پیری مرد و زن به من کفت که می تواتید با دور بودنشان را ما را عکس بکیربد من خواندم و کفتم بله چرا نشود . [ترکیه],"[0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
چاپلوسان ثنا گو را از خود دور بدار- زیرا آن ناکسان همیشه طالبن نعمت و آسایش اند و در روز سختی تو را به جنگ بلا سپارند و خود به گرد دیگر حلقه زنند . [پاکستان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
روزی که مردم قصد پادشاه کردند فرا رسید وزیر شاه را خبر کرد و خود پیش از همه رفته و زورق بر دریا انداخت وقتی خلایق بر سر پادشاه ریختند و از شهر بیرون و در دریا انداختند غلامان پادشاه را گرفته در زورق جای دادند و به شهری که بنا کرده_بود رسانیدند پادشاه و وزیر به مقصد اصلی خود رسیدند و همه ی عمر را به خوشی گذرانیدند پس مردم که ضایع شد استدراک آن محال است و سرّ خاصی که در آن دم بود دیگر باز نمی توان یافت زمان را قضا نیست دریغ از چنین گوهر نفیسی که چنین به هیچ از دست می رود . عزیزان دریابید خود را که حیف از این نازنین عمر که چنین ضایع از دست برود و گروهی از وی نگیرید او در تمام دوران جوانی کوشش خود را برای آموختن به کار می برد و تا نیمه های شب بیدار می ماند و مطالعه می کرد ایشان هم چنین از جوانی به سحرخیزی تهجّد و راز و نیازهای شبانه اهتمام داشت و می توان گفت که هیچ گاه پیش از طلوع آفتاب در خواب نبود . [پاکستان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
مردوم ها باید بیسیار کار بکنند . [اتریش],"[12, 0, 0, 0, 0, 0, 0]"
ماه صحانه مسل میخوریم [هند],"[0, 40, 0, 0]"
بعد از ظهر برای تفریح و کمک به پدربزرگم به باغ رفتم حدود ساعت پنج هوا بارانی شد در حال تماشایِ باران بودم که پِدربزرگم صدا زد مجید جعبهها را بیاور و میوهها را در آن بگذار . زود به طرف جعبهها رفتم و تعدادی جعبه آوردم . با کمک پدربزرگ سیبها و زردآلو را در جعبهها ریختم و مقداری از آنها را برداشتیم [هند],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
خهش می کنم . [چین],"[0, 0, 0, 40]"
تقضیه [هند],[12]
تلویزون ی من روی میز تلوزون است ، مبل من کنره دیوار است . [کامرون],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0]"
برخی از مردم عبادت کردن لذت می برند و برخی از مردم از والیدین کمک ، لذت می برند . [هند],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0]"
در جنگ حمد چیزی که سبب مسلمانان روهی  ی خود را دست به دهند شایعه ی کشته سودن رشول اکرم بود . وقتی عبوزر به مکه محتی شهور را پو از وسهد و عکماف دید چون هرکس نام پیامبر را می بود یا با او مولاقت می کرد دستگیر و شیگنجه می سود . ای فرمند ماباد در حوکمت تو خادم و خاعین یکسا باسادن زی را خادمی که در ازایی خدمت خود مزد و مرحمت نبیند دل سارد و بخد می گردد از ویژگهای باراز جابر بن حیان پشتکار فراون و قدرت تحمل سختیهای بسیار بود که کار های تقت فرسا از خود نشان می داد . بر شاگیرد لازم است همواره پیش از استا در جلیسی درس حاضر شود و اگر ناچار از تأخیر شد به گونی ناباشد که استا منتزر او شود یا مجبور به تیرار شود . [هند],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
برای من خیلی جالب است اشنائی با کشورهای شرقی ، مخصوصاً کشور ایران ، خون ایرانشناسی شقل من است و من در دانشکده شرق شناسی دپرتمان ایرانشناسی در دانشگاه دولتی ایروان یاد می کیرم . [ارمنستان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ولی در تصور من و از اقامتها کوتاه در کشوارها دیگر که آنجا در خوابگاه ساکنت میکردم ، زندگی خوابگاه عموماً بهتر است . [جمهوری چک],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
چاپلوسان ثناگو را از خود دور بدار زیرا آن نقسان همیشه طلبه نعمت و آسایش اند و روز سختی تو را به چنگ بلا سپارنند . [پاکستان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0]"
میز دارد ، میز من قهوه ای است ، فرش دارد ، فرش من سفید و قهوه ای است ، مبل دارد ، مبل من قهوه ای تلویزیون دارد ، تلویزیون رنگ سیاه است ، تلوزون ی من بزرگ است . [کامرون],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 13, 0, 0, 0, 0]"
خانواده من در کشمیر زندگی می کنند و دوست حانواده دوست در لکنهو زندگی می کتد . [آفریقا],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0]"
اگار من مسیقی دوست شنیدم ، مسیقی می شنیوم برای یک من یک نفر عرب در اتاقم دارم . [گرجستان],"[0, 0, 13, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
زیادی مردم نخواهند_دیگری دیکر کمک نکنند . [اوکراین],"[0, 0, 0, 12, 0, 0, 0]"
حال که حق تعالی مرا از چنان غرقابی نجات داده و به چنین جایی رسانیده است از عاقبت کار خود غافل نباید شد . پس از میان وزرا مرد بزرگ و فهمیده_ای را برگزید و او را رفیق و محرم راز خود گردانید هر سرّی که داشت با او در میان گذاشت . [پاکستان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
کلاس تلبولو دارد . [آفریقا],"[0, 12, 0, 0]"
این حتما بسیار سخته_بود اما جلب ، مهم و مفید در طول این ماه که من تهران هستم چیزهای زیادی یاد گرفتم مسلا پختن ، شستن ، تمیض کردن . [گرجستان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0]"
چنین حکایت کرده_اند که روزی اشتر سواری در بیابان می رفتو . به موقعی رسید که کاروانیان آنجا فرود آمده آتش روشن کرده و رفته_بودند . بد آتش را شعله ور کرده_بود هیزمها می سوخت و ماری بزرگ در میان آتش مانده_بود و نزدیک بود که بسوزد . او که مردی خداترس و رحم دل بود با خود گفت اگرچه او دشمن است ولیکن در بند اس و درمانده را دست گرفت از مروّت باشد پس از این مشارطه باید وارد مراقبه شوید و آن چنان است که در تمام مدّت شرط متوجه ی عمل به آن باشی و خود را ملزم بدانی به عمل کردن به آن و اگر خدای ناخواسته در دلت افتاد که امری را مرتکب شوی که خلاف فرموده ی خداست بدان که این از شیطان و جنود اوست که می خواهند_تو را از شرطی که کردی باز دارند . آنها علاوه بر سیل عظیم تبلیغات منفی علیه انقلاب به عملیّات نظامی در صحرای تبس متوصّل شدند و قصد داشتند محل سکونت امام و دیگر شخصیّت های انقلابی را بمباران کنند در حالی که پیروان مکتب از هر طوطعه ای بی خبر بودند . [پاکستان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
اگر خورشید فقط از این نقطه میتابید نور آن به همه جا نمیرسید زیرا کوهها ، جنگلها ، دیوارها و ساختمانهای مخطلف منع عبور نور آن میشدند . امام حسن هیچ نگفت و صبر کرد تا مرد شامی ساکت شود . آنگاه به او سلام کرد و با خوش رویی و مهربانی از حالش پرسید و فرمود گمان میکنم غریب هستی . ما را نمیشناسی و از رفتار و کردار ما چیزی نمیدانید . [هند],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0]"
بانکوک پایتخ کشورم است آنجا شهر خیلی قشنگ است در تایلند جزیره زیاد وجود دارد مانند پی پی سیمیلن لیثه است همه خیلی قشنگ در تایلند جمعیت خیلی زیاد حدود هفتاد ملیون وجود دارد مسلمان حدود ده ملیون نفر است و شیعیان حدود بیست و پنج نفر است دو تایلند پادشاه دارد ایشان مهربانی است اسمش وَشِیرا لونکون است ایشان با مسلمانان و شیعیان خدمت کرده_است . [تایلند],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
گفت حالا که حق تعالی مرا از چنان قرغابی نجات داده و به چنین جایی رسانیده است از عاقبت کار خود غافل نباید شد پس از میان وزرا مرد بزرگ و فهمیده_ای را برگزید و او را رفیق و محرم راض خود گردانید هر سرّی که داشت با او در میان گذاشت تا این که شبی در خلوت به او گفت ای وزیر بی نظیر احوال این مملکت و سلطنت را با من بازگو که در این چه راضی است . بارها هر یک از شما خسته شده با خود گفته_اید اگر مرا تن درست و سالم باشد نان جو می خورم و دیگر از من خوشحالتر کسی نباشد . اینک این آن تن درست و نان گندم از شما خوش دل تر کسی باید که نباشد . چند ماهی از تولد روح الله نگدشته_بود که پدر بزرگوارش به دست مزدورانه حکومت به شهادت رسید و او چون جد بزرگوارش حضرت محمّد صلّی الله علیه و آله و سلم در کودکی طعم تلخ یتیمی را چشید سال ها بعد که روح الله بزرگ شد وی را به مدرسه فرستادند و در هفت سالگی توانست قرائت قرآن را فراگیرد و آن را ختم کند قبل از پانزده سالگی تحصیلات زبان فارسی ان روز را به پایان رساند . [پاکستان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
مثلاً وقتی که من اولین بار به خوابگاه آمدم در باره هم اتاق من بلد نبودم ، هر از ما عادت گوناگون داریم ، همچنین با یکدیگر آشنا می¬شویم ، فکر کنم که مهم در زندگی خوابگاه هم اتاقها است . [قزاقستان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0]"
شمع روی میز است [روسیه],"[0, 0, 0, 40]"
بعد از رسیدن خانه استحراحت می کنم . [پاکستان],"[0, 0, 0, 0, 12, 0, 0, 0]"
صوب فردا آن مرد و علی علیح سلام به خسد منزل پیامبر از خانه بیرون آمدند . در آنجا او با پیغمبر اکرم ص کرد . به آیات آقرآن گوش داد و آسار پیامبری را در وجود ایشان مو کرد . سپاس با میال و اشتیاد امان آورد و مسلمان شد . [بورکینافاسو],"[0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
بشقاب و لیوان روی میز هستند [لبنان],"[0, 0, 0, 0, 0, 40]"
همان ذکر این قصّه تمثیلی است که قافلان به خود آیند و فکر به عاقبت این جنجال زندگی بنمایند و در این اندیشه باشند که جزیره ای آباد برای روزگار واپسین خود در زمانی که قدرت دارند ، بسازند . [تاجیکستان],"[0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
حضرت فاطمه مادر نو امامان هستند . [پاکستان],"[0, 0, 0, 12, 0, 0, 0]"
اگر می خواستیم راجع به مقایسه بین غذا خوردن در رستوران یا خانه ، کدام بهتر است ؟ از لحاظ منطقی می توانم بگوییم که غذا خوردن در خانه بهتر است ، چون که هرچی که می پزیم ، مشخص است ، تمیز یا کثیف است ، میوه جات و سبزیجات با دست خودمان میشوییم ، خورد میکنیم و در قابلیمه می ریزیم یعنی در آخر می توانیم با غذا خوردن در خانه مطمئن باشیم اما غذا خوردن در رستوران اطلاعات زیاد راجع به کیفیت اون غذا نداریم ، چه جوری پختن اتفاق می افتد ؟ سبزیجات و میوه جات کثیف یا تمیز است ؟ بنابراین ، حداقل باید این پرسش را از خودمون بپرسیم قبل از رفتن به رستوران تا اطمینان داشته_باشیم غذا که می خوریم به جسم ها ضرر نیم زند ، ما چاق نمی کند . [سوریه],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
آب پیوسته در حال تغییر است . گرمای خورشید ، آب دریاها را به بخار تبدیل میکند و بخارها در آسمان به صورت آبر ، در میآیند . آبرها نیز در برخورد با هوای سرد به باران تبدیل میشوند بر زمین میبارند ، و در جویها و رودخوانهها جاری میشوند . باران آلودگی هوا را برطرف میکند . [کامرون],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
مثلان در اتاقم دانشحور رویر ، ازربایجان ، یونان ، دارد و با هرکس صخبت میکنم خود یاد گرفتم و این موضوعات برای من خیلی مهم است . [ترکیه],"[0, 0, 0, 0, 0, 40, 0, 40, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
هر جور که پیشرفتة کودک را می آورد بهترین راه است . [رومانی],"[0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0]"
فکر می کنم که امروز مردم با بعضی از آنها فاست فود و بد غداهای دیکر را می خورند . [ارمنستان],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0]"
پایتخت کشورم الهنامه است . [بحرین],"[0, 0, 37, 0, 0]"
